,Predicted_Alu_Bhorta,Predicted_Bakorkhani,Predicted_Balosai,Predicted_Beef Kala Bhuna,Predicted_Beguni,Predicted_Biryani,Predicted_Chola_bhuna,Predicted_Cream Jam,Predicted_Dim Bhuna,Predicted_Doi,Predicted_Dudh Puli PItha,Predicted_Egg_omlete,Predicted_Faluda,Predicted_Golap Jam,Predicted_Hafsi Sondesh,Predicted_Haleem,Predicted_Hilsha_fish,Predicted_Jilapi,Predicted_Kabab,Predicted_Kacha  Chana,Predicted_Kacha Golla,Predicted_Kalojam,Predicted_Kasmiri Chomchom,Predicted_Khichuri,Predicted_Lemon Barfi,Predicted_Malaikari,Predicted_Maoyaa Laddo,Predicted_Morog_polao,Predicted_Nehari,Predicted_Nokshi Pitha,Predicted_Pakon Pitha,Predicted_Panta Ilish,Predicted_Patishapta,Predicted_Payesh,Predicted_Phuchka,Predicted_Porota,Predicted_Rajvog,Predicted_Ravogsai,Predicted_Roshmalai,Predicted_Rosogolla,Predicted_S.P.Chomchom,Predicted_Sada Chomchom,Predicted_Sajer Pitha,Predicted_Shamok Pitha,Predicted_Shemai
Actual_Alu_Bhorta,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,2,0,0,0,0,0
Actual_Bakorkhani,0,11,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Actual_Balosai,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actual_Beef Kala Bhuna,0,0,0,33,0,0,0,0,0,0,0,1,0,0,0,2,5,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Actual_Beguni,0,0,0,0,29,0,0,0,0,0,0,4,0,0,0,0,3,0,3,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Actual_Biryani,0,0,0,0,0,45,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actual_Chola_bhuna,0,0,0,0,0,1,5,0,0,0,0,1,0,0,0,4,2,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Actual_Cream Jam,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actual_Dim Bhuna,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actual_Doi,0,1,0,0,1,0,0,0,0,41,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,1,0,0,0,0,0
Actual_Dudh Puli PItha,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actual_Egg_omlete,0,0,0,0,0,2,0,1,0,4,0,51,0,0,0,3,3,0,4,0,0,1,0,2,0,0,0,1,4,0,0,1,0,0,3,7,0,0,0,1,0,0,0,0,0
Actual_Faluda,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actual_Golap Jam,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actual_Hafsi Sondesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actual_Haleem,0,0,0,2,0,3,0,0,0,0,0,5,0,0,0,44,3,0,0,0,0,0,0,1,0,0,0,1,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Actual_Hilsha_fish,0,0,0,0,2,0,0,0,0,1,0,3,0,0,0,1,46,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actual_Jilapi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actual_Kabab,1,0,0,1,0,0,0,0,0,0,0,10,0,0,0,1,2,0,40,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0
Actual_Kacha  Chana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actual_Kacha Golla,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0
Actual_Kalojam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Actual_Kasmiri Chomchom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actual_Khichuri,0,0,0,0,1,2,0,0,0,0,0,10,0,0,0,3,5,0,0,0,0,0,0,57,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Actual_Lemon Barfi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actual_Malaikari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actual_Maoyaa Laddo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actual_Morog_polao,0,0,0,0,0,8,0,0,0,0,0,3,0,0,0,1,1,0,2,0,0,1,0,1,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Actual_Nehari,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,6,2,0,1,0,0,1,0,0,0,0,0,0,42,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Actual_Nokshi Pitha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actual_Pakon Pitha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actual_Panta Ilish,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Actual_Patishapta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
Actual_Payesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0
Actual_Phuchka,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0
Actual_Porota,0,1,0,0,5,0,0,0,0,0,0,7,0,0,0,1,4,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,58,0,0,0,2,0,0,0,0,0
Actual_Rajvog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0
Actual_Ravogsai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0
Actual_Roshmalai,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,42,4,0,0,0,0,0
Actual_Rosogolla,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,80,0,0,0,0,0
Actual_S.P.Chomchom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0
Actual_Sada Chomchom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0
Actual_Sajer Pitha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0
Actual_Shamok Pitha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
Actual_Shemai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
